			Autor, Herausgeber oder Institution	Jahr ermittelt	Titel	Untertitel	Ort	Zeitschrift/Zeitung	Band	Nummer	Datum	Seiten von–bis	Laufnummer	Schlagwörter
FALSCH	FALSCH	FALSCH	Engel, Evamaria	1989	Hansische Stadtgeschichte - Brandenburgische Landesgeschichte: Eckhard Müller-Mertens zum 65. Geburtstag	(Abhandlungen zur Handels- und Sozialgeschichte 26)	Weimar		8				14597	Bibliographie
FALSCH	FALSCH	FALSCH	"Erpenbeck, Dirk-Gerd; Küng, Enn"	2000	Narvaer Bürger- und Einwohnerbuch 1581 - 1704		Dortmund		64				13147	"Bürgerbuch; Stb - Stadtbuch"
WAHR	FALSCH	FALSCH	Faridi, Marcus	1994	"Die Gerichtsprotokolle des Stadtgerichts zu Mülhausen im Elsass aus den Jahren 1438 - 1443, 1450 - 1458. ""Darstellung des materiellen Rechts"""		Mainz						13176	"Gerichtsbücher/Schöffenbücher; Glossar Stadtbuch; Hilfsmittel; Stb - Stadtbuch"
WAHR	FALSCH	FALSCH	"Fejtová, Olga; Hrubá, Michaela; Ledvinka, Václav; Pešek, Ji?i; Sulitková, Ludmila"	2013	M?sta ve st?edov?ku a raném novov?ku jako badatelské téma posledních dvou desetiletí. Stati a rozší?ené p?ísp?vky z 30. v?decké konference Archivu hlavního m?sta Prahy, uspo?ádané ve dnech 11. a 12. ?íjna 2011 v Clam-Gallasov? paláci v Praze	[Städte im Mittelalter und in der Frühen Neuzeit als Forschungsthema in den letzten zwanzig Jahren. Abhandlungen und erweiterte Beiträge der 30. wissenschaftlichen Konferenz des Archivs der Hauptstadt Prag, veranstaltet am 11. und 12. Oktober 2011 im Palais Clam-Gallas in Prag – Towns and cities in the middle ages and the early modern period as a research topic over the past two decades. Papers and expanded works from the 30th Research Conference of the Prague City Archives, held on 11 and 12 October at the Clam-Gallas Palace in Prague]	Prag		32.2				13118	
WAHR	FALSCH	FALSCH	Förstemann, Ernst Günther	1843/46	Das alte Rechtsbuch von Mühlhausen in Thüringen			Neue Mittheilungen aus dem Gebiet historisch-antiquarischer Forschungen	7	1		76–110	3220	"Edition/Regest; Statuten/Ordnungen/Willküren; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	"Fröde, Tino; Kahl, Uwe"	2014	Die Donatorenbücher der Zittauer Ratsbibliothek 1607 – 1762		Zittau						13431	"Bibliothek Zittau Christian-Weise; Bibliothek Zittau Rat; Edition/Regest; Stb - Stadtbuch; Stiftung; Testament"
WAHR	FALSCH	FALSCH	"Gleba, Gudrun; Petersen, Niels"	2015	Wirtschafts- und Rechnungsbücher des Mittelalters und der Frühen Neuzeit. Formen und Methoden der Rechnungslegung: Städte, Klöster und Kaufleute		Göttingen						13316	"Rechnungsbuch; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Goli?ski, Mateusz	2008	Wroc?awskie ksi?gi szosu z lat 1370 – 1404	Libri exactionis civitatis Wratislaviensis de annis 1370 – 1404. Editio – Die Schoßbücher der Stadt Breslau von 1370 bis 1404. Edition	Wroc?aw						13539	"Edition/Regest; Geschoß/Steuer; Geschoßbuch; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Gorissen, Friedrich	1963	Regesten zur politischen Geschichte des Niederrheins	1. Stadtrechnungen von Wesel, Bd. 1–5 (1349–1425)	Bonn		55				11563	"Rechnungsbuch; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Gornig, Antje J.	2015	Die Rechnungen der Wittenberger Bruderschaften als Quellen zur vorreformatorischen Frömmigkeitsgeschichte							226–280	13729	"Bruderschaft; Edition/Regest; Rechnungsbuch; Stb - Stadtbuch"
